"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASCL1",11.6009754056263,4.53372160725038,1.00780592319969,4.49860583559209,6.84005425747683e-06,5.02299694370058e-05
"CST2",30.1486388224439,4.49140838994151,0.662294695495423,6.7815859321986,1.18863741827095e-11,3.48518814546586e-10
"CST9",137.166600198655,4.47929850302245,1.09656758769229,4.08483576689426,4.41080027187994e-05,0.000256612446261044
"SCUBE1-AS2",3.845820053243,4.44924191231658,1.10037266383135,4.04339553186002,5.26826353432852e-05,0.000299265439889982
"ERVV-2",3.69077214020452,4.44899376354736,1.40597356360568,3.16435093710988,0.00155429257264573,0.00569407529213258
"NKAIN1",776.323826485897,4.42652602515745,0.62900993380573,7.03729112571469,1.96013045611986e-12,6.72950437809398e-11
"VGF",18.4426119468094,4.40746559002433,0.690073101400913,6.3869546299903,1.69221816834911e-10,3.78754576593571e-09
"NEK2",563.961839609895,4.39677927130171,0.440661816991329,9.97767245031859,1.90892058814884e-23,1.28889257600372e-20
"COMP",2537.24742791511,4.36815741038294,0.565619613404069,7.72278277992174,1.13817046347205e-14,6.44883670294056e-13
"UBE2C",776.319504625587,4.3427591722554,0.446157230280351,9.73369672733209,2.16575988396462e-22,9.93266518859017e-20
"RTBDN",12.7073349942468,4.33013102080156,0.694402990767386,6.23576090306916,4.49587347455209e-10,9.23763284411984e-09
"IGFL3",6.938807214079,4.32491213143383,0.799375989076422,5.41036031921689,6.28980663980525e-08,7.81627453955758e-07
"PLPP4",113.29794546217,4.31925991966031,0.455471810826681,9.48304552991073,2.46967664741871e-21,8.57577575268664e-19
"CSMD3",14.1166233759403,4.26028998172184,0.992208290244283,4.29374560121137,1.75683770340375e-05,0.000114855981862923
"GPR139",17.5771647148769,4.24597015122259,1.19213716057065,3.5616456659988,0.000368537544683914,0.00163647097161708
"CEACAM5",234.886679688047,4.21657093819825,0.708777132549382,5.94907869421771,2.69655978602711e-09,4.65520445447166e-08
"FABP6",23.7724248508352,4.20918358744958,0.796108387432518,5.28719914762407,1.24203399230495e-07,1.41880988786685e-06
"LRRC15",2230.48460909566,4.1752538555932,0.435488875546294,9.58750978507913,9.02365721363934e-22,3.48155612526875e-19
"HOXC12",180.570808114889,4.17251446751905,0.860439733240394,4.8492814851837,1.23909483372984e-06,1.10203725296272e-05
"SYT13",439.419493697644,4.16067131486365,0.739456833968869,5.62665881729997,1.83733624221597e-08,2.58493864037549e-07
"DQX1",43.027655765416,4.15744583357256,0.64128614257877,6.48298093087502,8.99278679394679e-11,2.12840962609995e-09
"H3C2",6.03499992284266,4.15643346409234,0.842994971199354,4.9305554672276,8.19961301524617e-07,7.64804273068261e-06
"CXCL10",1170.69308912212,4.14217989432556,0.525007222506248,7.88975792476125,3.02773259772652e-15,1.95731638970581e-13
"CST9L",4.82278760133363,4.13510594793302,1.3254920415151,3.11967617942571,0.00181049954168817,0.00648031399791111
"FCRL4",1.97383068232546,4.10167058379282,0.74652119375559,5.49437928635111,3.92087008409692e-08,5.12665890985174e-07
"TPX2",2063.50593641274,4.09171476440034,0.378403995180165,10.813085529005,2.98459108346414e-27,4.83643036438419e-24
"MYBL2",1501.779952288,4.08524607518868,0.503530613134331,8.1132029883133,4.93026090440177e-16,3.91633502625143e-14
"KIF2C",897.888569577444,4.05958091035955,0.407331688991205,9.96627814647438,2.14102008361036e-23,1.30104437930792e-20
"KIF18B",312.720167865297,4.04752323179753,0.491458229117159,8.23574210786617,1.78447972066638e-16,1.56026433705891e-14
"KIF4A",599.555472961551,4.03885405352976,0.434510792759143,9.29517544980422,1.46963616087056e-20,4.15377280956751e-18
"GJB2",635.973631789838,4.03370317146777,0.404583617626485,9.97001113176985,2.06205724168549e-23,1.30104437930792e-20
"CENPA",178.66954537322,4.03072948160464,0.421898928471192,9.55377985009474,1.25048702772681e-21,4.53665495267994e-19
"NUF2",412.649565587342,3.98561593172707,0.395969393978557,10.0654646352362,7.85157084186933e-24,5.45280378438051e-21
"KIF14",320.970657413529,3.98502748560169,0.455071749217092,8.75692128210014,2.00655685900855e-18,2.93815527541692e-16
"CLDN25",1.83549604627047,3.97968726553256,1.0153749011557,3.91942647095459,8.87599345813438e-05,0.000475008306884351
"SIX3-AS1",5.9908984292455,3.97763147284144,1.55188747811858,2.56309270415899,0.0103744343761962,0.0285876177737446
"H2BC7",26.4373404645955,3.97166145068821,0.565320446861333,7.02550468984259,2.1329384705313e-12,7.24096863173246e-11
