"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1QTNF9",26.1046396921444,-3.80117750134265,0.504886019898707,-7.52878343136786,5.12152459959658e-14,2.51196267847495e-12
"MYH1",62.2315704758035,-3.78387284461424,0.60027186362966,-6.30359854239098,2.90813167732168e-10,6.22253139794526e-09
"LOC124900842",1.55434167291784,-3.77104227142919,0.96674584439824,-3.90075870848611,9.58916904202218e-05,0.000508827782134174
"SPHKAP",74.1368598833769,-3.76708238117187,0.819959201870002,-4.594231484421,4.34347013615347e-06,3.35483726086693e-05
"NNAT",312.110872375688,-3.76649091938323,0.506072585980701,-7.44259029973787,9.87299255771372e-14,4.46064739963471e-12
"MAOA",4054.41471030335,-3.76010306115477,0.478847395030544,-7.85240370977674,4.08138220031042e-15,2.55028681601402e-13
"BMP3",56.2347340221584,-3.74954530971129,0.697668323797992,-5.37439522737592,7.68401474267879e-08,9.35279651228309e-07
"TAT-AS1",394.007460238279,-3.74044189575057,0.681358766149669,-5.48968044674563,4.02661563843475e-08,5.25080184138591e-07
"ACACB",5492.74050479939,-3.73465609750221,0.453132597709489,-8.24186146920412,1.69551812565878e-16,1.50412259417475e-14
"HS3ST4",61.7373149441146,-3.73350412290433,0.68413521790763,-5.4572605315115,4.83536618776849e-08,6.1859603118994e-07
"URAD",3.36466224860437,-3.72125430780218,1.32077269627936,-2.8174827646612,0.0048401712380159,0.0150121273806881
"LUZP2",179.193383877653,-3.70807603981955,0.449621133871874,-8.24711242527185,1.62267743539776e-16,1.44477730484298e-14
