"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LIPE",7661.08242672296,-4.9989117460986,0.559562677652595,-8.93360466260793,4.12348890322259e-19,7.50671016472239e-17
"ATP1A2",1122.52729950244,-4.98911550106159,0.558448037939647,-8.93389386677509,4.11271889400338e-19,7.50671016472239e-17
"KLK2",45.4838825465797,-4.97216590055507,0.775466785573666,-6.41183606191053,1.43777402571596e-10,3.27534894499323e-09
"PLIN4",28507.8780132709,-4.94291072045096,0.663979620293499,-7.44437113637018,9.74073016005668e-14,4.40908618250461e-12
"ADIPOQ",23299.2688348332,-4.93611262583761,0.857964199192081,-5.75328507936089,8.75257020205218e-09,1.33720128159197e-07
"FAM180B",51.770813721459,-4.92769080966432,0.632960931500899,-7.78514212240493,6.96348846976903e-15,4.16900281366197e-13
"OXTR",3851.0669045207,-4.92283377962412,0.523542720619833,-9.40292661083296,5.30660977815616e-21,1.7430778902384e-18
"ADIPOQ-AS1",9768.98982702874,-4.86340262142314,0.873663396883483,-5.56667778319635,2.59641865256505e-08,3.53365891309622e-07
"ALB",486.155787810148,-4.86310772401136,0.613676327762332,-7.92454833925869,2.28977065793119e-15,1.53326323367309e-13
"GRIA4",252.83636771568,-4.82750151587226,0.570363887160382,-8.4638975653008,2.58586965249827e-17,2.81859792122311e-15
"PROKR1",29.5078932669275,-4.79626730837678,0.718741071935175,-6.67315045105614,2.50369480819114e-11,6.76944490575106e-10
"TMEM132C",838.627027476133,-4.77632674024697,0.665757521585801,-7.1742737939633,7.26920047064036e-13,2.7267354296274e-11
"DCT",59.2255022722053,-4.76608453205167,0.509404502591087,-9.3561884667469,8.26650609413567e-21,2.48066621765624e-18
"AQP7B",30.1846806964639,-4.74366299046455,0.796983177904944,-5.95202398491568,2.64846547866057e-09,4.5983035992716e-08
"EPB42",19.7411040245967,-4.69636974557376,0.786952406527926,-5.9677938673501,2.4048290909492e-09,4.21327581816102e-08
"HSD3B1",3.94561026728699,-4.69414463008689,0.976969938898451,-4.80479945511897,1.5490669374765e-06,1.34379621874523e-05
"DEFB132",251.782255721214,-4.67269524089929,0.748893485642571,-6.23946573241986,4.39067923890541e-10,9.03676886198762e-09
"HSPB6",5156.10339822875,-4.65320367663747,0.53460672011855,-8.7039752803811,3.20456873563239e-18,4.50251169115702e-16
"CLEC3B",726.739482001809,-4.63988164422368,0.432067513525409,-10.7387884971149,6.69167144544456e-27,9.56790928378946e-24
"XAGE3",3.46924771508042,-4.63874106740491,1.04073364137679,-4.45718374325665,8.30434201401158e-06,5.97730652456558e-05
"MRAP-AS1",36.472001786841,-4.63098819704013,0.707862403659663,-6.54221522869109,6.06141820756594e-11,1.47778227052463e-09
